groupId,playerId,AwarenessMonitoringGrowth_aggregated_normGrowthMindset,AwarenessMonitoringGrowth_aggregated_normSelfAwareness,AwarenessMonitoringGrowth_aggregated_normSelfMonitoring,AwarenessMonitoringGrowth_aggregated_rawGrowthMindset,AwarenessMonitoringGrowth_aggregated_rawSelfAwareness,AwarenessMonitoringGrowth_aggregated_rawSelfMonitoring,AwarenessMonitoringGrowth_raw_canAdjust,AwarenessMonitoringGrowth_raw_emotionalIntuition,AwarenessMonitoringGrowth_raw_fixedIntelligence,AwarenessMonitoringGrowth_raw_goingOnAroundMe,AwarenessMonitoringGrowth_raw_innermostThoughts,AwarenessMonitoringGrowth_raw_onlyLearnNewThings,AwarenessMonitoringGrowth_raw_othersThinkOfMe,AwarenessMonitoringGrowth_raw_tellInappropriate,AwarenessMonitoringGrowth_raw_troubleChanging,AwarenessMonitoringGrowth_time_seconds,CulturalConflictNorms_aggregated_normConflictOpenness,CulturalConflictNorms_aggregated_rawConflictOpenness,CulturalConflictNorms_raw_avoidConflict,CulturalConflictNorms_raw_conflictIsDetrimental,CulturalConflictNorms_raw_differencesAvoided,CulturalConflictNorms_raw_disagreementsEncouraged,CulturalConflictNorms_raw_emotionAccepted,CulturalConflictNorms_raw_openConflict,CulturalConflictNorms_raw_resolveImmediately,CulturalConflictNorms_time_seconds,PostDiscussionGeneral_aggregated_normDiscussionDepth,PostDiscussionGeneral_aggregated_normDiscussionDisagreement,PostDiscussionGeneral_aggregated_normDiscussionEnjoy,PostDiscussionGeneral_aggregated_normDiscussionTension,PostDiscussionGeneral_aggregated_normSelfAnxious,PostDiscussionGeneral_aggregated_normSelfInsight,PostDiscussionGeneral_aggregated_normSelfLearned,PostDiscussionGeneral_aggregated_normSelfSpeakUp,PostDiscussionGeneral_aggregated_normSelfVoice,PostDiscussionGeneral_aggregated_rawDiscussionDepth,PostDiscussionGeneral_aggregated_rawDiscussionDisagreement,PostDiscussionGeneral_aggregated_rawDiscussionEnjoy,PostDiscussionGeneral_aggregated_rawDiscussionTension,PostDiscussionGeneral_aggregated_rawSelfAnxious,PostDiscussionGeneral_aggregated_rawSelfInsight,PostDiscussionGeneral_aggregated_rawSelfLearned,PostDiscussionGeneral_aggregated_rawSelfSpeakUp,PostDiscussionGeneral_aggregated_rawSelfVoice,PostDiscussionGeneral_raw_discussionDepth,PostDiscussionGeneral_raw_discussionDisagreement,PostDiscussionGeneral_raw_discussionEnjoy,PostDiscussionGeneral_raw_discussionTension,PostDiscussionGeneral_raw_selfAnxious,PostDiscussionGeneral_raw_selfInsight,PostDiscussionGeneral_raw_selfLearned,PostDiscussionGeneral_raw_selfSpeakUp,PostDiscussionGeneral_raw_selfVoice,PostDiscussionGeneral_time_seconds,PostDiscussionPerceptionOfOthers_aggregated_normCommon,PostDiscussionPerceptionOfOthers_aggregated_normLiking,PostDiscussionPerceptionOfOthers_aggregated_normPartnerListening,PostDiscussionPerceptionOfOthers_aggregated_normPartnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_normPartnerReceptiveness,PostDiscussionPerceptionOfOthers_aggregated_normPartnerTalking,PostDiscussionPerceptionOfOthers_aggregated_normPolite,PostDiscussionPerceptionOfOthers_aggregated_normSelfPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_rawCommon,PostDiscussionPerceptionOfOthers_aggregated_rawLiking,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerListening,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerReceptiveness,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerTalking,PostDiscussionPerceptionOfOthers_aggregated_rawPolite,PostDiscussionPerceptionOfOthers_aggregated_rawSelfPerspectiveTaking,PostDiscussionPerceptionOfOthers_raw_common,PostDiscussionPerceptionOfOthers_raw_defensive,PostDiscussionPerceptionOfOthers_raw_liking,PostDiscussionPerceptionOfOthers_raw_partnerListening,PostDiscussionPerceptionOfOthers_raw_partnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_raw_partnerTalking,PostDiscussionPerceptionOfOthers_raw_polite,PostDiscussionPerceptionOfOthers_raw_selfPerspectiveTaking,PostDiscussionPerceptionOfOthers_time_seconds,TIPI_aggregated_normAgreeableness,TIPI_aggregated_normConscientiousness,TIPI_aggregated_normEmotionalStability,TIPI_aggregated_normExtroversion,TIPI_aggregated_normOpennessToExperience,TIPI_aggregated_rawAgreeableness,TIPI_aggregated_rawConscientiousness,TIPI_aggregated_rawEmotionalStability,TIPI_aggregated_rawExtroversion,TIPI_aggregated_rawOpennessToExperience,TIPI_raw_anxiety,TIPI_raw_calmness,TIPI_raw_carelessness,TIPI_raw_conventionality,TIPI_raw_criticalness,TIPI_raw_dependability,TIPI_raw_extroversion,TIPI_raw_openness,TIPI_raw_quietness,TIPI_raw_sympathy,TIPI_time_seconds,deal_sheet_agreement_binary,deal_sheet_deal_price,deal_sheet_return_fund_binary,deal_sheet_special_terms,deal_sheet_trip_binary,demographics_birth_year,demographics_country_reside,demographics_education_US,demographics_employment_status,demographics_english_spoken,demographics_english_written,demographics_gender,demographics_income_US,demographics_language_primary,demographics_language_primary_expansion,demographics_latin_US,demographics_marital_status,demographics_race_US,game_time_minutes,post_negotiation_conflict_1,post_negotiation_conflict_2,post_negotiation_conflict_3,post_negotiation_conflict_4,post_negotiation_decision_leadership_1,post_negotiation_decision_leadership_2,post_negotiation_goal_similarity,post_negotiation_open_ended_feedback,post_negotiation_viability_1,post_negotiation_viability_2,pre_negotiation_strategy,pre_negotiation_target_price,role
01HYGGYW379NX4JTA4QZ6NR0VV,01HYGGECDW2EEDA77RGGP9SEWV,0.167,0.5,0.75,2.0,4.0,5.5,5,6,2,6,3,2,3,5,2,24.134,0.476,3.857,1,5,2,2,1,2,2,16.048,1.0,0.5,1.0,1.0,0.0,0.75,0.75,1.0,0.75,5.0,3.0,5.0,5.0,1.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5,1.0,4.0,4.0,5.0,4.0,18.011,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,14.25,0.75,0.583,0.583,0.75,0.75,5.5,4.5,4.5,5.5,5.5,4,5,4,3,2,5,5,6,2,5,29.243,Yes,"275,000",Yes,"50k a year raise when she returns (first year 20k up front and then 30k spread throughout rest of year), meeting upon return to discuss buying new lab equipment (set aside 100,000 budget for that)",Yes,2002.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,"['White', 'Asian']",38.140033333333335,7.0,5.0,1.0,1.0,6.0,3.0,7.0,,7.0,7.0,"I will initially offer 175,000 to give myself 100,000 of room for them to counter offer. I will also offer research funding, funds for them to attend scientific conferences, and a lighter teaching load depending on what their ideas for improvement are. I will also, if necessary, free them from committee work if it ","250,000",Provost
01HYGGYW379NX4JTA4QZ6NR0VV,01HYGGHZCYVY3R06RCVPYZJ67J,0.417,0.722,0.833,3.5,5.333,6.0,6,6,3,5,6,4,5,6,2,56.92,0.738,5.429,2,2,2,6,6,6,6,39.292,1.25,0.25,1.0,1.0,0.25,1.0,0.5,1.0,0.75,6.0,2.0,6.0,5.0,2.0,5.0,3.0,5.0,4.0,6.0,2.0,5.0,5,2.0,5.0,3.0,5.0,4.0,40.747,0.75,1.0,1.0,0.75,1.0,0.5,1.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,3.0,5.0,5.0,33.454,0.833,0.917,0.667,0.75,0.75,6.0,6.5,5.0,5.5,5.5,3,5,1,3,3,6,7,6,4,7,29.848,Yes,"$275,000",Yes,"I will receive $275k for my portfolio & $60k for paid leave upfront, $50k salary increase upon my return ($20k of that will be upfront), plus $100k budget for advanced lab technology.

My trip will take place! I will use the $260k for my trip while putting the balance $75k in a CD at a bank as my ""return fund"" and add the $20k to the ""return fund"" when I return. That way, my CD will create interest, and I will have over $95k as my return fund.",Yes,1996.0,United States,7.0,Employed for wages,5.0,5.0,female,"$50,000-$74,999",English,,,Married or Domestic Partnership,['Asian'],38.140033333333335,5.0,5.0,1.0,1.0,4.0,4.0,6.0,"None, everything was clear and understandable.",7.0,7.0,"Start high, work my way down.","$365,000",Star Scientist
01HYGH30V5H3VJ45GECZKJJESE,01HYGGZ7J3MS0NNQ4MW99FT8CM,0.667,0.722,0.667,5.0,5.333,5.0,6,5,4,6,6,6,4,7,6,18.352,0.429,3.571,6,6,6,6,5,6,6,8.082,1.25,1.0,0.75,1.0,0.75,1.0,0.5,1.0,0.75,6.0,5.0,6.0,5.0,4.0,5.0,3.0,5.0,4.0,6.0,5.0,4.0,5,4.0,5.0,3.0,5.0,4.0,21.547,1.0,0.75,1.0,1.0,0.25,0.75,1.0,1.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,35.945,0.417,0.833,1.0,0.833,1.0,3.5,6.0,7.0,6.0,7.0,1,7,1,1,5,5,7,7,3,4,21.712,Yes,150000,Yes,none,Yes,2004.0,Oman,,Self-employed,5.0,5.0,male,,English,,,Single Never Married,,36.424616666666665,1.0,5.0,6.0,6.0,1.0,1.0,6.0,none,6.0,6.0,"I am happy to loose all the money if it means I get the best research
","275,000",Provost
01HYGH30V5H3VJ45GECZKJJESE,01HYGGNW7ZBB299KS2Q4BAE33D,0.5,0.778,0.625,4.0,5.667,4.75,5,3,3,6,6,5,5,5,2,36.845,0.214,2.286,6,6,5,1,2,3,5,38.901,0.5,1.0,0.0,0.0,0.75,0.75,1.0,0.75,0.25,3.0,5.0,3.0,1.0,4.0,4.0,5.0,4.0,2.0,3.0,5.0,1.0,1S,4.0,4.0,5.0,4.0,2.0,30.048,0.25,0.0,0.25,0.25,0.25,0.75,0.75,0.5,2.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,30.955,0.583,0.5,0.5,0.75,0.667,4.5,4.0,4.0,5.5,5.0,4,4,5,4,4,5,6,6,3,5,29.92,Yes,150000,No,I will receive a salary increase after returning from my sabbatical. ,Yes,2005.0,United States,3.0,A student,5.0,5.0,female,"$30,000-$39,999",English,,No,Single Never Married,['Asian'],36.424616666666665,7.0,7.0,5.0,5.0,7.0,5.0,1.0,,1.0,1.0,"I will open my bid with 400,000. I have experienced a lot of burnout because I spent my entire career working for this university. I will discuss my physical and mental health, as well as emphasize my time at the institute. I can sell to private companies too if this doesn't work out.",355000,Star Scientist
01HYGGX2DRTCTM89MAP0RA623F,01HYGGHWHVGYP2HZ299BTDAXSY,0.083,0.556,0.875,1.5,4.333,6.25,7,6,1,6,5,2,2,6,2,62.235,0.619,4.714,5,3,1,5,5,6,6,53.758,0.5,0.25,0.5,0.5,0.0,0.5,1.25,1.0,0.5,3.0,2.0,3.0,3.0,1.0,3.0,6.0,5.0,3.0,3.0,2.0,3.0,3,1.0,3.0,6.0,5.0,3.0,46.224,0.5,0.5,1.0,0.5,0.5,0.5,0.75,1.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,31.071,0.833,0.75,0.75,0.583,0.583,6.0,5.5,5.5,4.5,4.5,3,6,3,4,2,6,5,5,4,6,58.549,Yes,"275,000",Yes,Additional support staff at the lab,Yes,1999.0,United States,6.0,A student,5.0,5.0,male,"Less than $10,000",English,,No,Single Never Married,['Asian'],39.99285,4.0,4.0,4.0,4.0,4.0,5.0,4.0,"The ""total portfolio cost"", was it to include the 6 month stipend? I simply placed the offered cost by the Provost and not the included stipend.",5.0,4.0,"Door in the Face: Come in with a higher asking price in order to lead into a my target price.

Be prepared to make financial cuts of the trip if necessary.","$355,000",Star Scientist
01HYGGX2DRTCTM89MAP0RA623F,01HYGGEF7EKZWVNVAHN4CC5ZWA,0.583,0.667,0.958,4.5,5.0,6.75,7,6,3,6,6,6,3,7,1,62.565,0.548,4.286,3,4,3,4,2,7,5,80.561,1.0,0.5,0.75,0.75,0.25,0.75,0.75,1.0,0.75,5.0,3.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4,2.0,4.0,4.0,5.0,4.0,57.63,0.5,0.75,1.0,0.75,1.0,0.5,1.0,1.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,1.0,4.0,5.0,4.0,3.0,5.0,5.0,38.089,0.75,0.833,0.917,0.583,0.75,5.5,6.0,6.5,4.5,5.5,2,7,2,3,2,6,4,6,3,5,41.846,Yes,"$275,000",No,"The star scientist will take a 2 year sabbatical with only 6 months of it being paid ($10,000 a month). In addition, the star scientist will receive additional research assistance in the form of more research assistants and assistance in applying for grant funding from the university.",Yes,2005.0,United States,3.0,A student,5.0,5.0,female,"$150,000 or more",English,,,Single Never Married,"['White', 'Other']",39.99285,6.0,4.0,2.0,1.0,2.0,7.0,7.0,The question about the return fund was a little unclear.,7.0,7.0,I plan to try to meet an agreement with the star scientist and acknowledge their work at the university. Say that they are a very valuable part of this institution and I want to do everything in my power to keep them.,"137,500",Provost
01HYGGRCD1ZM7HBVX3Q43FV4W8,01HYGGFQ9YVV3TPCN7KBA8MW2F,0.667,0.667,0.708,5.0,5.0,5.25,6,5,4,6,5,6,4,4,2,33.327,0.667,5.0,2,2,4,5,6,5,5,28.268,1.0,0.25,0.5,1.0,0.0,0.5,0.25,1.0,0.75,5.0,2.0,5.0,5.0,1.0,3.0,2.0,5.0,4.0,5.0,2.0,3.0,5,1.0,3.0,2.0,5.0,4.0,28.324,0.5,0.5,1.0,0.75,1.0,0.5,1.0,0.5,3.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,5.0,4.0,3.0,5.0,3.0,28.968,0.667,0.833,0.5,0.667,0.75,5.0,6.0,4.0,5.0,5.5,5,5,2,2,3,6,6,5,4,5,37.697,Yes,"$335,000",Yes,I will be set up for additional paid leave for 3 months (sabbatical will be 24 months total). I will also receive housing by the university when I return.,Yes,2004.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['White'],44.17455,5.0,3.0,1.0,1.0,6.0,6.0,7.0,No,7.0,4.0,"-the university doesn't want to lose me
-I need this sabbatical to continue performing at such a high level
-I have already made significant financial investments to make this happen
-I will open with a $450,000 ask","$375,000",Star Scientist
01HYGGRCD1ZM7HBVX3Q43FV4W8,01HYGGFMZ6HM161YMP5AYFW5YE,0.25,0.722,0.75,2.5,5.333,5.5,5,6,1,5,6,4,5,6,3,39.947,0.667,5.0,5,1,3,7,2,7,4,27.406,1.0,1.0,0.75,0.75,0.0,0.5,0.75,1.0,0.75,5.0,5.0,5.0,4.0,1.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4,1.0,3.0,4.0,5.0,4.0,35.4,0.5,0.75,1.0,0.75,0.75,0.5,1.0,1.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,32.02,0.75,0.667,0.667,0.75,0.75,5.5,5.0,5.0,5.5,5.5,3,5,3,2,1,5,5,5,2,4,30.043,Yes,"275,000",No,"We are paying this scientist $335,000 total, including 6 months of paid sabbatical leave at $10,000/mo. We are also buying out the portfolio at 100% of our investment fund, at $275,0000. Special terms: offering on-campus housing for after the scientists return and using our 10 yr IP policy to further support the researcher w separate paid opportunities outside the university.",Yes,2005.0,United States,4.0,Employed for wages,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Black or African-American'],44.17455,7.0,7.0,1.0,1.0,3.0,1.0,5.0,No,7.0,7.0,"Opening bid: I will offer $45,000 ($7,500 for each month of sabbatical for 6 months)

I hope to be as transparent as possible. The Star Scientist has been invited to the prestigious institute for Advanced Studies and has served our university for a decade. We value this scientist and want them to understand that they are still offered 18 months of unpaid leave. Considering the relationship we have maintained for the past decade, we believe that it is in both parties best interest to continue that. The scientist can still venture into their own intellectual property, and we even hae a 10 yr plan to increase patenting and liscensing activities. This is very rare in the university and research space, showing how mu
","60,000",Provost
01HYGGVB28PAE5XWBJ653YDEE4,01HYGGGZSXVKN5ZAKVV2M5V502,0.333,0.611,0.708,3.0,4.667,5.25,5,3,4,7,6,2,1,7,2,53.593,0.452,3.714,3,6,5,4,7,2,5,37.822,0.75,0.0,0.75,1.0,0.0,0.25,0.75,1.0,0.75,4.0,1.0,4.0,5.0,1.0,2.0,4.0,5.0,4.0,4.0,1.0,4.0,5,1.0,2.0,4.0,5.0,4.0,27.559,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,26.418,0.25,1.0,0.417,0.083,0.833,2.5,7.0,3.5,1.5,6.0,4,3,1,1,5,7,1,5,6,2,48.387,Yes,235000,No,"The scientist will get to keep some of the patent rights and will receive royalties. The scientist will get a 24 month sabbatical, 6 months paid. When the scientist returns she will be given more research funding and a leadership position in a research center. Additionally she will get a research team composed of phds. ",Yes,2005.0,Colombia,,A student,5.0,5.0,female,,English,,,Single Never Married,,45.4301,5.0,2.0,1.0,1.0,3.0,2.0,6.0,No.,7.0,7.0,Opening bid: 220 000. If the faculty member counters I can increase offer. Will offer alternative benefits: increased funding for research project when they come back and a leadership role that aligns with career interests such as leading new research center or mentoring. A research team composed of phds could be offered. Recognition through awards and opportunities for attending international conferences and advanced training. If they decide they want to do 50% buy out we can offer royalties and discuss further sabbaticals or salary adjustments. ,250000,Provost
01HYGGVB28PAE5XWBJ653YDEE4,01HYGGGNAAQG3BR2WATPMA562H,0.167,0.833,0.792,2.0,6.0,5.75,6,5,2,6,6,2,6,6,2,39.103,0.571,4.429,3,6,3,5,5,6,5,58.406,0.5,0.25,0.5,0.75,1.0,0.5,0.25,0.75,0.25,3.0,2.0,3.0,4.0,5.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,4,5.0,3.0,2.0,4.0,2.0,29.845,0.5,0.75,1.0,0.75,1.0,0.5,1.0,0.75,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,1.0,4.0,5.0,4.0,3.0,5.0,4.0,17.36,0.667,0.667,0.333,0.333,0.5,5.0,5.0,3.0,3.0,4.0,6,4,3,6,3,5,3,6,5,5,48.595,Yes,"335,000",Yes,"I would be given help restarting my career after my sabbatical, such as a team of researchers.",Yes,2005.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Black or African-American'],45.4301,6.0,6.0,1.0,2.0,5.0,2.0,6.0,No.,6.0,6.0,"Dream trip
Target price - 400,000
Opening bid - 375,00
Outside options - go to private companies or other universities - slower, less efficient
Risk losing my position, which would be a loss for the university","400,000",Star Scientist
01HYGGX90QVABM7YXJDC9W4J66,01HYGGK2B486G9Y3BRJ18714Q0,0.333,0.444,0.75,3.0,3.667,5.5,6,5,3,5,2,3,4,6,3,50.254,0.595,4.571,2,5,2,3,6,5,5,28.092,1.0,0.5,1.0,0.75,0.25,0.5,0.75,1.0,0.75,5.0,3.0,5.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4,2.0,3.0,4.0,5.0,4.0,27.019,0.5,1.0,1.0,0.75,0.75,0.5,1.0,1.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,4.0,3.0,5.0,5.0,22.897,0.25,0.5,0.75,0.583,0.833,2.5,4.0,5.5,4.5,6.0,2,5,5,3,7,5,4,7,3,4,40.449,Yes,365000,Yes,provided with paid leave and non monetary compensation to supplement my research,Yes,2005.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Black or African-American'],43.87996666666666,6.0,2.0,1.0,1.0,1.0,3.0,5.0,No,7.0,6.0,"Urge that I am a key asset to the university which is worth much more than the amount I am asking for, this amount it very similar to how much I would make as a salary already so they are just paying to keep me as a faculty member. I really need the money to survive as I have already sold my house and my health is at risk from the long hours I have been working. I will make myself appear extremely valuable to the future of the university. Selling my patented research to someone else will likely reduce the value of the university so I will use that as an incentive for the university to pay me.","450,000",Star Scientist
01HYGGX90QVABM7YXJDC9W4J66,01HYGGKNKPEVJT5H1EYRHD0MF4,0.417,0.5,0.875,3.5,4.0,6.25,6,5,3,6,4,4,2,7,1,33.792,0.643,4.857,5,3,2,5,5,5,3,40.201,1.0,0.5,0.75,0.75,0.0,0.75,0.75,1.0,0.75,5.0,3.0,5.0,4.0,1.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4,1.0,4.0,4.0,5.0,4.0,23.786,0.75,0.75,1.0,1.0,1.0,0.5,0.75,0.75,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,22.455,0.667,0.833,0.5,0.833,0.75,5.0,6.0,4.0,6.0,5.5,5,5,2,3,3,6,6,6,2,5,35.181,Yes,275000,No,"Agreed to pay 15,000 per month of paid leave due to the prestige of the star scientist and the work they have done for the university. 
Non-monetary incentives: new research spaces, undergraduates, graduate, and phd students working on the research and being paid by the university -- further expand the research",Yes,2004.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Asian'],43.87996666666666,6.0,6.0,1.0,1.0,5.0,4.0,6.0,All of the survey questions made sense to me. ,7.0,7.0,"Using the IP as a incentive for faculty retention 
- max is 275K 
- can do partial
other incentives that aren't monetary 
- research spaces like labs, classrooms, office
- paid sabbatical up to 6 months, but can be longer unpaid
- express support of their research",,Provost
01HYGHBBVM5BDXZX5BS6CJ9QDR,01HYGGK1QTSC8QHBSHKSR4PXR9,0.0,0.722,0.792,1.0,5.333,5.75,7,5,1,7,7,1,2,7,4,42.172,0.619,4.714,7,3,2,6,7,7,7,24.568,1.25,0.75,1.0,1.0,0.0,0.5,0.75,1.0,0.75,6.0,4.0,6.0,5.0,1.0,3.0,4.0,5.0,4.0,6.0,4.0,5.0,5,1.0,3.0,4.0,5.0,4.0,28.657,0.5,1.0,1.0,0.5,0.75,0.5,1.0,1.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,20.28,0.667,0.917,0.917,0.75,0.667,5.0,6.5,6.5,5.5,5.0,2,7,2,5,5,7,5,7,2,7,600.051,Yes,"275,000",No,"The scientist will receive 125,000 for relocation costs, also 10,000 for Sabatical for 24 months and 6 months unpaid leave. We will also support research costs for the scientists and administration support. The 275,000 Patent portfolio will be distributed at 75% upfront and the other 25% quarterly.",Yes,2005.0,United States,3.0,A student,5.0,5.0,female,"$30,000-$39,999",English,,No,Single Never Married,['Black or African-American'],36.296216666666666,7.0,5.0,1.0,1.0,4.0,5.0,6.0,I did not have any problems. ,7.0,7.0,"I would begin by acknowledging the faculty member's significant contributions to the university and their esteemed reputation in the academic community. This sets a positive tone for the negotiation and emphasizes their worth to the institution. Also I'd highlight the university's commitment to academic integrity and scientific advancement over profit-driven motives. I'd express concerns about setting precedents that might compromise these values and the university's reputation. I'd acknowledge the faculty member's well-earned sabbatical request and express willingness to accommodate their need for a break. I would also emphasize the importance of work-life balance and the value of providing scholars with the freedom to pursue their research interests. I would propose a buy-out offer for a portion of the faculty member's patent interests that aligns with the $275,000 limit set by the IP Committee. This offer demonstrates the university's commitment to supporting their intellectual property endeavors while ensuring responsible financial management. Throughout the negotiation, I'd remain firm on the $275,000 limit for the patent buy-out and the university's policies regarding sabbatical duration. Next, I'd reinforce the consequences of exceeding these boundaries while emphasizing the university's desire to retain the faculty member.","275,000",Provost
01HYGHBBVM5BDXZX5BS6CJ9QDR,01HYGGMWHKSS2ZZ6HMA8ZRJC1A,0.083,0.778,0.958,1.5,5.667,6.75,7,6,2,6,7,1,4,7,1,50.421,0.762,5.571,4,1,2,7,7,6,6,42.248,0.75,0.25,1.0,1.0,0.0,0.25,0.25,1.0,0.75,4.0,2.0,4.0,5.0,1.0,2.0,2.0,5.0,4.0,4.0,2.0,5.0,5,1.0,2.0,2.0,5.0,4.0,209.695,0.5,1.0,1.0,0.75,1.0,0.5,1.0,0.25,3.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,3.0,1.0,5.0,5.0,4.0,3.0,5.0,2.0,123.578,0.667,0.833,1.0,1.0,0.833,5.0,6.0,7.0,7.0,6.0,1,7,2,3,5,6,7,7,1,7,54.119,Yes,"275,000",Yes,"$275,000 IP patent portfolio payment with $206,250 paid upfront and remaining $68,750 distributed quarterly. 
$125,000 return fund
$10k/24 month sabbatical leave ($240,000 total) and up to 6 unpaid months sabbatical leave

$640,000 total package",Yes,1994.0,United States,6.0,Out of work and looking for work,5.0,5.0,male,"$40,000-$49,999",English,,No,Single Never Married,['Black or African-American'],36.296216666666666,6.0,1.0,1.0,1.0,3.0,3.0,3.0,None. The survey questions were very clear and easy to understand. ,7.0,7.0,"Make sure to thank the Provost for sitting down to discuss the sabbatical. Mention how much the university has helped in my scholastic achievements thus far and how I would like to continue working there. Must land on a number higher than $400,000! Especially since a professor with less accomplishments was able to secure that money from the university. Mention other competing offers! Do not make mention of the boat ride & expenses until absolutely necessary. Lead with the advanced training if asked. ","550,000",Star Scientist
01HYGH1M2NW4T4131JC50XQ553,01HYGGF1DJY7S488252ZAEVNM6,0.667,0.833,0.833,5.0,6.0,6.0,7,5,5,7,6,5,5,5,1,40.983,0.595,4.571,3,2,3,5,4,5,6,41.323,1.0,0.25,1.0,0.25,0.5,0.5,0.75,1.0,0.75,5.0,2.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,5.0,2.0,5.0,2,3.0,3.0,4.0,5.0,4.0,46.615,0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.75,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,44.188,0.75,0.917,0.917,0.5,0.833,5.5,6.5,6.5,4.0,6.0,2,7,1,2,3,6,5,6,5,6,45.826,Yes,275000,Yes,"21 months sabbatical, 6 months paid
Further discussion about subsidizing boat expenses and end of sabbatical funding",Yes,2004.0,United States,3.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Asian'],47.27851666666666,7.0,3.0,2.0,3.0,2.0,2.0,5.0,"No, it was all very clear.",6.0,4.0,"Open with 200k for IP buyout, 6 months of paid sabbatical, and 6 months additional
Other incentives: priority in choice of upgraded lecture halls, access to the most seasoned TAs in the science department, potential to become chair of your department in the next 5 years",200k,Provost
